Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
100067,0,Sestina Music,05/06/2014,Up-to-date,31 December 2019,81763,114928,0,0,0,"Crescent Arts Centre, 2-4 University Road, Belfast, BT7 1NH",www.sestinamusic.com,info@sestinamusic.com,07749082183,621437,"The advancement of education,The advancement of the arts, culture, heritage or science","General public,Youth (14-25 year olds)","Arts,Community development,Cross-border/cross-community,Cultural,Education/training,Heritage/historical,Youth development",
100068,0,The Pat Cullinan Charitable Trust,08/04/2014,Up-to-date,31 March 2019,256,11783,0,0,0,"The Pat Cullinan Charitable Trust, 17 Ballygawley Road, Dungannon, County Tyrone., BT70 1TY",www.thepatcullinancharitabletrust.com,info@thepatcullinancharitabletrust.com,028 87725220,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion","Men,Older people,Volunteers,Women,Youth (14-25 year olds)","Education/training,Grant making,Relief of poverty,Religious activities",
100069,0,Echo Echo Dance Theatre Company,21/03/2014,Up-to-date,31 March 2019,260084,252376,0,0,0,"Echo Echo Dance Theatre Company, Waterloo House, Magazine Street, Londonderry., BT48 6HH",www.echoechodance.com,info@echoechodance.com,442871308883,0,"The advancement of the arts, culture, heritage or science",General public,"Arts,Cultural",
100070,0,Larne Well-Being Hub,14/05/2014,Up-to-date,31 March 2019,16989,12889,0,0,0,"First Floor, Moyle Medical Centre, 14A Old Glenarm Road, Larne., Bt401rw, BT40 1RW",www.pallarne.com,pal.larne@yahoo.com,028 28273335,0,The advancement of health or the saving of lives,"Addictions (drug/solvent/alcohol abuse),General public,Men,Mental health,Older people,Parents,Women,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Medical/health/sickness",
100071,0,Restored Ministries,07/04/2014,Up-to-date,31 March 2019,9502,5790,0,0,0,"17 Castlerock Road, Coleraine, BT51 3HP",www.facebook.com/restoredministries,restoredministriescoleraine@gmail.com,028 7034 42657,0,"The prevention or relief of poverty,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Homelessness,Unemployed/low income",Relief of poverty,
100072,0,Challenge For Youth,06/06/2014,Removed,31 March 2020,0,0,0,0,0,"112-114 Donegall Street, Belfast, Co Antrim., BT1 2GX",www.challengeforyouth.org,info@challengeforyouth.org,02890236893,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Children (5-13 year olds),Community safety/crime prevention,Ex-offenders and prisoners,Homelessness,Interface communities,Learning disabilities,Mental health,Parents,Unemployed/low income,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Counselling/support,Criminal justice,Cross-border/cross-community,Education/training,Human rights/equality,Medical/health/sickness,Sport/recreation,Volunteer development,Youth development",
100073,0,An Gaeláras Ltd,16/05/2014,Up-to-date,31 March 2019,932658,990497,0,0,0,"Cultúrlann Uí Chanáin, 37 Great James Street, Derry., BT48 7DF",www.culturlann.org,eolas@culturlann.org,02871264132,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement","Children (5-13 year olds),Language community,Voluntary and community sector,Youth (14-25 year olds)","Arts,Community development,Cross-border/cross-community,Cultural,Education/training,Environment/sustainable development/conservation,Human rights/equality,Youth development",
100074,0,Jigsaw (Northern Ireland),07/04/2014,Up-to-date,31 March 2019,117250,114962,0,0,0,"Office 4B, Townsend Enterprise Park, 28 Townsend Street, Belfast, BT13 2ES",www.jigsawni.org.uk,info@jigsawni.org.uk,02890319054,0,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Learning disabilities,Mental health,Older people,Physical disabilities,Sensory disabilities","Arts,Sport/recreation",
100075,0,Brown & Brí,11/09/2014,Removed,01 January 2018,0,0,0,0,0,"21 Manor Street, Belfast, BT14 6DU",www.brownandbri.com,brownandbri@gmail.com,07852254660,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),General public,Youth (14-25 year olds)","Arts,Cultural,Heritage/historical",
100076,0,North West Animal Welfare Group,07/04/2014,Up-to-date,31 December 2018,85183,85183,0,0,0,"336 Seacoast Road, Limavady, County Londonderry., BT49 0LA",,anne.rowe2@btinternet.com,02877750577,0,The advancement of animal welfare,General public,"Advice/advocacy/information,Animal welfare,Education/training",
100077,0,Clonard Residents Association,28/04/2014,Up-to-date,31 October 2018,5422,9267,0,0,0,"1St Floor, 152 Springfield Road, Belfast, BT12 7AE",,,02890585080,0,The advancement of citizenship or community development,Specific areas of deprivation,Community development,
100078,0,The Foyle Civic Trust,16/05/2014,Up-to-date,31 March 2019,777,1098,0,0,0,"Cathedral House, 1 St. Columbs Court, Londonderry, BT48 6PT",www.foylecivictrust.org,foylecivictrust@gmail.com,442871371037,0,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","General public,Older people,Voluntary and community sector","Advice/advocacy/information,Community enterprise,Cultural,Education/training,Environment/sustainable development/conservation,General charitable purposes,Heritage/historical,Research/evaluation",
100079,0,Down Masonic Widows' Fund,17/12/2014,Up-to-date,31 January 2020,303913,179878,0,0,0,"1 The Grange, Killowen Grange, Lisburn, County Antrim., BT28 3XX",www.downwidows.org,admin@downwidows.org,02892665306,0,The prevention or relief of poverty,"Older people,Women","Grant making,Relief of poverty",
100081,0,Lisburn Downtown Centre,21/05/2014,Up-to-date,31 August 2019,58530,39102,0,0,0,"49 Market Square South, Lisburn, County Antrim., BT28 1AD",www.downtowncentre.org,info@downtowncentre.org,02892672052,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Adult training,Carers,Community safety/crime prevention,General public,Learning disabilities,Men,Mental health,Older people,Parents,Physical disabilities,Sensory disabilities,Unemployed/low income,Volunteers,Women","Advice/advocacy/information,Community development,Counselling/support,Disability,Education/training,General charitable purposes,Human rights/equality,Medical/health/sickness,Sport/recreation,Volunteer development",
100082,0,The Storehouse.Com Ltd,11/06/2014,Removed,25 June 2017,640,2185,0,0,0,"15A Carmagrim Road, Portglenone, Ballymena, County Antrim., BT44 8BP",,thestorehouseint@btinternet.com,028 25820074,0,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Older people,Overseas/developing countries","Advice/advocacy/information,Education/training,General charitable purposes,Religious activities",
100083,0,The Gerry Rogan Initiative Trust,01/05/2014,Removed,31 March 2017,50323,145031,0,0,0,"9 Downview Avenue, Belfast, BT15 4EZ",gerryroganinitiativetrust.org,info@gerryroganinitiativetrust.org,07717498576,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Youth (14-25 year olds),"Advice/advocacy/information,Education/training",
100084,0,Mater Hospital Yp Fund,03/04/2014,Up-to-date,31 December 2018,852998,921937,0,0,0,"14 Portview, Bangor, County Down., BT20 5QB",,patodriscoll_yp@hotmail.com,02891473548,0,"The advancement of education,The advancement of health or the saving of lives","Carers,General public,Mental health,Older people,Physical disabilities,Sensory disabilities",Grant making,
100085,0,Lisnadill Full Gospel Church,28/04/2014,Up-to-date,31 December 2018,101775,105039,0,0,0,"17 Ballymoran Road, Armagh., BT60 2AW",,,028 3884 2832,0,"The prevention or relief of poverty,The advancement of religion","General public,Overseas/developing countries","Relief of poverty,Religious activities",
100086,0,Glen Rural Community Group (Armoy),18/11/2014,Up-to-date,31 October 2019,5773,6600,0,0,0,"154 Glenshesk Road, Cromaghs, Armoy, Ballymoney, County Antrim, BT53 8RL",,,028 2075 1378,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Community safety/crime prevention,General public,Men,Older people,Physical disabilities,Specific areas of deprivation,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Community development,General charitable purposes,Rural development,Sport/recreation,Volunteer development,Youth development",
100087,0,Larne Foodbank,03/04/2014,Up-to-date,31 March 2019,42574,34405,0,0,0,"Craigyhill Methodist Church, 1 Brustin Brae Road, Larne, County Antrim., BT40 2HS",www.larne.foodbank.org.uk,info@larne.foodbank.org.uk,02828277530,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Ethnic minorities,Ex-offenders and prisoners,Homelessness,Older people,Specific areas of deprivation,Unemployed/low income,Victim support,Voluntary and community sector","Advice/advocacy/information,General charitable purposes,Relief of poverty,Welfare/benevolent",
100088,0,Raloo Non-Subscribing Presbyterian Church,13/10/2014,Up-to-date,31 December 2018,29617,31900,0,0,0,"33 Castletown Road, Ballynure, Ballyclare, Co Antrim, BT39 9QG",,,028 9332 3744,0,The advancement of religion,"Men,Older people,Women","Counselling/support,Religious activities",
100089,0,North Down & Ards U3a,07/04/2014,Up-to-date,31 March 2019,49997,43844,0,0,0,"North Down And Ards U3a, Resource Centre, North Down Community Network, 5 Castle Park Road, Bangor, Co Down, BT20 4TF",www.ndau3a.com,u3anorthdownandards@hotmail.com,07802413788,0,"The advancement of education,The advancement of citizenship or community development",Older people,"Education/training,Heritage/historical,Sport/recreation",
